"StateCodes","State","year","GDP"
"AL","Alabama","2010",176220.75
"AK","Alaska","2010",54220
"AZ","Arizona","2010",247333
"AR","Arkansas","2010",104928.75
"CA","California","2010",1960935
"CO","Colorado","2010",258148.25
"CT","Connecticut","2010",230357.25
"DE","Delaware","2010",57673.75
"FL","Florida","2010",729761.5
"GA","Georgia","2010",407999
"HI","Hawaii","2010",67538.5
"ID","Idaho","2010",55420.25
"IL","Illinois","2010",653164
"IN","Indiana","2010",283111.5
"IA","Iowa","2010",141382.5
"KS","Kansas","2010",128589
"KY","Kentucky","2010",165787
"LA","Louisiana","2010",231371.5
"ME","Maine","2010",51304.25
"MD","Maryland","2010",314470.5
"MA","Massachusetts","2010",399270.25
"MI","Michigan","2010",387167
"MN","Minnesota","2010",271481
"MS","Mississippi","2010",94953.5
"MO","Missouri","2010",255631.25
"MT","Montana","2010",37801
"NE","Nebraska","2010",91498.25
"NV","Nevada","2010",119771
"NH","New Hampshire","2010",62678.75
"NJ","New Jersey","2010",492990
"NM","New Mexico","2010",86194.75
"NY","New York","2010",1208079.25
"NC","North Carolina","2010",417375.5
"ND","North Dakota","2010",36033
"OH","Ohio","2010",494736.25
"OK","Oklahoma","2010",151317.5
"OR","Oregon","2010",191393
"PA","Pennsylvania","2010",588275.75
"RI","Rhode Island","2010",49328.75
"SC","South Carolina","2010",165237
"SD","South Dakota","2010",38043.75
"TN","Tennessee","2010",254343
"TX","Texas","2010",1251494
"UT","Utah","2010",119037
"VT","Vermont","2010",26406.5
"VA","Virginia","2010",423505.75
"WA","Washington","2010",362113.5
"WV","West Virginia","2010",66961
"WI","Wisconsin","2010",253801
"WY","Wyoming","2010",39093.25
"DC","District of Columbia","2010",104044.75
"US","United States","2010",14859772.5
"AL","Alabama","2011",181923
"AK","Alaska","2011",59318.25
"AZ","Arizona","2011",255620.5
"AR","Arkansas","2011",109378.25
"CA","California","2011",2031347.75
"CO","Colorado","2011",266796.25
"CT","Connecticut","2011",232270.75
"DE","Delaware","2011",59763.25
"FL","Florida","2011",735244.25
"GA","Georgia","2011",418916.5
"HI","Hawaii","2011",69689.25
"ID","Idaho","2011",57081
"IL","Illinois","2011",679269
"IN","Indiana","2011",291889.75
"IA","Iowa","2011",149402
"KS","Kansas","2011",137654.25
