id,loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,issue_d,loan_status,url
1,5000,5000, 36 months,10.65%,162.87,B,B2,RENT,24000,11-Dec,Fully Paid,
2,2500,2500, 60 months,15.27%,59.83,C,C4,RENT,30000,11-Dec,Charged Off,
3,2400,2400, 36 months,15.96%,84.33,C,C5,RENT,12252,11-Dec,Fully Paid,
4,10000,10000, 36 months,13.49%,339.31,C,C1,RENT,49200,11-Dec,Fully Paid,
5,3000,3000, 60 months,12.69%,67.79,B,B5,RENT,80000,11-Dec,Fully Paid,
6,5000,5000, 36 months,7.90%,156.46,A,A4,RENT,36000,11-Dec,Fully Paid,
7,7000,7000, 60 months,15.96%,170.08,C,C5,RENT,47004,11-Dec,Fully Paid,
8,3000,3000, 36 months,18.64%,109.43,E,E1,RENT,48000,11-Dec,Fully Paid,
9,5600,5600, 60 months,21.28%,152.39,F,F2,OWN,40000,11-Dec,Charged Off,
10,5375,5375, 60 months,12.69%,121.45,B,B5,RENT,15000,11-Dec,Charged Off,
11,6500,6500, 60 months,14.65%,153.45,C,C3,OWN,72000,11-Dec,Fully Paid,
12,12000,12000, 36 months,12.69%,402.54,B,B5,OWN,75000,11-Dec,Fully Paid,
13,9000,9000, 36 months,13.49%,305.38,C,C1,RENT,30000,11-Dec,Charged Off,
14,3000,3000, 36 months,9.91%,96.68,B,B1,RENT,15000,11-Dec,Fully Paid,
15,10000,10000, 36 months,10.65%,325.74,B,B2,RENT,100000,11-Dec,Charged Off,
16,1000,1000, 36 months,16.29%,35.31,D,D1,RENT,28000,11-Dec,Fully Paid,
17,10000,10000, 36 months,15.27%,347.98,C,C4,RENT,42000,11-Dec,Fully Paid,
18,3600,3600, 36 months,6.03%,109.57,A,A1,MORTGAGE,110000,11-Dec,Fully Paid,
19,6000,6000, 36 months,11.71%,198.46,B,B3,MORTGAGE,84000,11-Dec,Fully Paid,
20,9200,9200, 36 months,6.03%,280.01,A,A1,RENT,77385.19,11-Dec,Fully Paid,
21,20250,20250, 60 months,15.27%,484.63,C,C4,RENT,43370,11-Dec,Fully Paid,
22,21000,21000, 36 months,12.42%,701.73,B,B4,RENT,105000,11-Dec,Charged Off,
23,10000,10000, 36 months,11.71%,330.76,B,B3,OWN,50000,11-Dec,Fully Paid,
24,10000,10000, 36 months,11.71%,330.76,B,B3,RENT,50000,11-Dec,Fully Paid,
25,6000,6000, 36 months,11.71%,198.46,B,B3,RENT,76000,11-Dec,Charged Off,
26,15000,15000, 36 months,9.91%,483.38,B,B1,MORTGAGE,92000,11-Dec,Fully Paid,
27,15000,15000, 36 months,14.27%,514.64,C,C2,RENT,60000,11-Dec,Charged Off,
28,5000,5000, 60 months,16.77%,123.65,D,D2,RENT,50004,11-Dec,Charged Off,
29,4000,4000, 36 months,11.71%,132.31,B,B3,MORTGAGE,106000,11-Dec,Fully Paid,
30,8500,8500, 36 months,11.71%,281.15,B,B3,RENT,25000,11-Dec,Fully Paid,
31,4375,4375, 36 months,7.51%,136.11,A,A3,MORTGAGE,17108,11-Dec,Fully Paid,
32,31825,31825, 36 months,7.90%,995.82,A,A4,MORTGAGE,75000,11-Dec,Fully Paid,
33,10000,10000, 60 months,15.96%,242.97,C,C5,RENT,29120,11-Dec,Fully Paid,
34,5000,5000, 36 months,8.90%,158.77,A,A5,RENT,24044,11-Dec,Fully Paid,
35,7000,7000, 36 months,15.96%,245.97,C,C5,RENT,34000,11-Dec,Fully Paid,
36,12400,12400, 36 months,10.65%,403.91,B,B2,RENT,41000,11-Dec,Fully Paid,
37,10800,10800, 36 months,9.91%,348.03,B,B1,RENT,55596,11-Dec,Fully Paid,
38,15000,15000, 36 months,7.90%,469.36,A,A4,RENT,45000,11-Dec,Fully Paid,
39,6000,6000, 36 months,12.42%,200.5,B,B4,RENT,36852,11-Dec,Fully Paid,
40,12500,12500, 60 months,12.69%,282.44,B,B5,RENT,27000,11-Dec,Fully Paid,
41,9600,9600, 36 months,7.51%,298.67,A,A3,RENT,68004,11-Dec,Fully Paid,
42,12000,12000, 36 months,7.90%,375.49,A,A4,RENT,62300,11-Dec,Fully Paid,
43,3000,3000, 36 months,18.25%,108.84,D,D5,MORTGAGE,65000,11-Dec,Fully Paid,
44,4400,4400, 36 months,16.77%,156.37,D,D2,RENT,55000,11-Dec,Fully Paid,
45,6000,6000, 36 months,6.03%,182.62,A,A1,MORTGAGE,45600,11-Dec,Fully Paid,
46,14000,14000, 36 months,9.91%,451.15,B,B1,RENT,80000,11-Dec,Fully Paid,
47,5000,5000, 36 months,8.90%,158.77,A,A5,MORTGAGE,100000,11-Dec,Charged Off,
48,10000,10000, 36 months,10.65%,325.74,B,B2,RENT,27000,11-Dec,Fully Paid,
49,10000,10000, 36 months,6.03%,304.36,A,A1,RENT,60000,11-Dec,Fully Paid,
50,11000,11000, 36 months,6.62%,337.75,A,A2,RENT,70000,11-Dec,Fully Paid,
51,15000,15000, 36 months,9.91%,483.38,B,B1,MORTGAGE,80000,11-Dec,Charged Off,
52,25600,25600, 36 months,9.91%,824.96,B,B1,RENT,110000,11-Dec,Fully Paid,
53,7000,7000, 36 months,10.65%,228.02,B,B2,RENT,40000,11-Dec,Fully Paid,
54,12000,12000, 36 months,15.96%,421.65,C,C5,RENT,50000,11-Dec,Charged Off,
55,12000,12000, 36 months,9.91%,386.7,B,B1,RENT,46000,11-Dec,Fully Paid,
56,21000,21000, 60 months,19.91%,555.33,E,E4,RENT,50000,11-Dec,Charged Off,
57,16000,16000, 60 months,19.91%,423.11,E,E4,RENT,81000,11-Dec,Fully Paid,
58,10000,10000, 36 months,12.42%,334.16,B,B4,OWN,39000,11-Dec,Fully Paid,
59,10000,10000, 36 months,10.65%,325.74,B,B2,RENT,51400,11-Dec,Fully Paid,
60,7100,7100, 36 months,16.77%,252.33,D,D2,MORTGAGE,33000,11-Dec,Fully Paid,
61,13000,13000, 60 months,12.69%,293.74,B,B5,MORTGAGE,30000,11-Dec,Fully Paid,
62,17500,8950, 60 months,17.27%,223.74,D,D3,RENT,40000,11-Dec,Fully Paid,
63,17675,17675, 60 months,14.65%,417.25,C,C3,RENT,50000,11-Dec,Fully Paid,
64,8000,8000, 36 months,16.77%,284.31,D,D2,RENT,62000,11-Dec,Fully Paid,
65,10000,10000, 60 months,10.65%,215.69,B,B2,RENT,45996,11-Dec,Charged Off,
66,3500,3500, 36 months,10.65%,114.01,B,B2,MORTGAGE,55000,11-Dec,Fully Paid,
67,12500,8925, 60 months,17.27%,223.11,D,D3,RENT,30000,11-Dec,Charged Off,
68,16425,16425, 36 months,14.27%,563.53,C,C2,RENT,44544,11-Dec,Fully Paid,
69,8200,8200, 60 months,21.28%,223.14,F,F2,RENT,75000,11-Dec,Charged Off,
70,15000,15000, 36 months,14.65%,517.42,C,C3,OWN,61000,11-Dec,Fully Paid,
71,20975,13575, 60 months,17.58%,341.63,D,D4,MORTGAGE,44000,11-Dec,Fully Paid,
72,6400,6400, 36 months,16.77%,227.45,D,D2,RENT,75000,11-Dec,Charged Off,
73,3000,3000, 36 months,13.49%,101.8,C,C1,RENT,33600,11-Dec,Fully Paid,
74,12000,12000, 36 months,16.77%,426.47,D,D2,RENT,50000,11-Dec,Fully Paid,
75,14400,14400, 36 months,8.90%,457.25,A,A5,OWN,150000,11-Dec,Fully Paid,
76,12000,12000, 36 months,14.65%,413.94,C,C3,RENT,90000,11-Dec,Fully Paid,
77,11000,11000, 36 months,13.49%,373.24,C,C1,MORTGAGE,48000,11-Dec,Fully Paid,
78,7250,7200, 60 months,21.67%,197.51,F,F3,RENT,75000,11-Dec,Fully Paid,
79,15000,15000, 36 months,7.90%,469.36,A,A4,MORTGAGE,52000,11-Dec,Fully Paid,
80,18000,18000, 60 months,19.91%,475.99,E,E4,MORTGAGE,65000,11-Dec,Fully Paid,
81,35000,22075, 60 months,17.27%,551.84,D,D3,MORTGAGE,150000,11-Dec,Fully Paid,
82,10000,10000, 36 months,14.27%,343.09,C,C2,RENT,68000,11-Dec,Fully Paid,
83,11800,11800, 36 months,12.69%,395.83,B,B5,RENT,42000,11-Dec,Fully Paid,
84,4500,4500, 36 months,6.03%,136.96,A,A1,RENT,53000,11-Dec,Fully Paid,
85,7000,7000, 36 months,12.69%,234.82,B,B5,RENT,35000,11-Dec,Fully Paid,
86,9200,9200, 36 months,12.42%,307.43,B,B4,RENT,60000,11-Dec,Fully Paid,
87,14000,14000, 60 months,17.27%,349.98,D,D3,RENT,28000,11-Dec,Fully Paid,
88,4500,4500, 60 months,10.65%,97.06,B,B2,MORTGAGE,42000,11-Dec,Fully Paid,
89,12000,12000, 36 months,16.29%,423.61,D,D1,RENT,88365,11-Dec,Fully Paid,
90,12000,12000, 36 months,13.49%,407.17,C,C1,RENT,72000,11-Dec,Fully Paid,
91,12000,12000, 36 months,10.65%,390.88,B,B2,RENT,62000,11-Dec,Fully Paid,
92,7000,7000, 36 months,10.65%,228.02,B,B2,MORTGAGE,43680,11-Dec,Fully Paid,
93,8200,8200, 60 months,19.42%,214.62,E,E3,RENT,120000,11-Dec,Fully Paid,
94,10500,10500, 36 months,12.69%,352.23,B,B5,RENT,66000,11-Dec,Fully Paid,
95,7000,7000, 36 months,11.71%,231.54,B,B3,OWN,39120,11-Dec,Fully Paid,
96,15300,15300, 60 months,22.06%,423.1,F,F4,RENT,85000,11-Dec,Fully Paid,
97,20000,12800, 60 months,11.71%,282.86,B,B3,MORTGAGE,47800,11-Dec,Fully Paid,
98,17500,17500, 60 months,17.27%,437.47,D,D3,MORTGAGE,45000,11-Dec,Charged Off,
99,3500,3500, 36 months,6.03%,106.53,A,A1,MORTGAGE,83000,11-Dec,Fully Paid,
100,6000,6000, 60 months,12.69%,135.57,B,B5,RENT,81000,11-Dec,Fully Paid,
101,6200,6200, 36 months,9.91%,199.8,B,B1,RENT,25000,11-Dec,Charged Off,
102,16000,16000, 60 months,17.58%,402.65,D,D4,RENT,65000,11-Dec,Fully Paid,
103,6000,6000, 36 months,8.90%,190.52,A,A5,OWN,28800,11-Dec,Fully Paid,
104,7200,7200, 36 months,9.91%,232.02,B,B1,RENT,135000,11-Dec,Fully Paid,
105,9500,9500, 36 months,8.90%,301.66,A,A5,MORTGAGE,50000,11-Dec,Fully Paid,
106,18825,18825, 60 months,16.77%,465.53,D,D2,RENT,38000,11-Dec,Charged Off,
107,24000,24000, 36 months,10.65%,781.76,B,B2,RENT,45000,11-Dec,Fully Paid,
108,6000,6000, 36 months,13.49%,203.59,C,C1,RENT,80000,11-Dec,Fully Paid,
109,6000,6000, 36 months,13.49%,203.59,C,C1,RENT,50000,11-Dec,Fully Paid,
110,2100,2100, 36 months,12.42%,70.18,B,B4,MORTGAGE,30000,11-Dec,Fully Paid,
111,5500,5500, 36 months,6.62%,168.88,A,A2,MORTGAGE,110000,11-Dec,Fully Paid,
112,11000,11000, 36 months,6.62%,337.75,A,A2,OWN,45608,11-Dec,Fully Paid,
113,26800,26800, 60 months,20.89%,723.38,F,F1,MORTGAGE,120000,11-Dec,Fully Paid,
114,8000,8000, 36 months,12.69%,268.36,B,B5,MORTGAGE,35000,11-Dec,Fully Paid,
115,10000,10000, 36 months,18.25%,362.78,D,D5,RENT,75000,11-Dec,Charged Off,
116,8000,8000, 36 months,11.71%,264.61,B,B3,MORTGAGE,35000,11-Dec,Fully Paid,
117,10000,10000, 36 months,8.90%,317.54,A,A5,RENT,24000,11-Dec,Fully Paid,
118,12000,12000, 36 months,11.71%,396.92,B,B3,MORTGAGE,126000,11-Dec,Fully Paid,
119,10000,10000, 36 months,7.90%,312.91,A,A4,RENT,43000,11-Dec,Fully Paid,
120,12000,12000, 36 months,9.91%,386.7,B,B1,RENT,50000,11-Dec,Fully Paid,
121,25000,25000, 60 months,13.49%,575.12,C,C1,MORTGAGE,67000,11-Dec,Charged Off,
122,19750,19750, 36 months,10.65%,643.33,B,B2,RENT,45000,11-Dec,Charged Off,
123,10000,10000, 36 months,9.91%,322.25,B,B1,RENT,31200,11-Dec,Fully Paid,
124,13650,13650, 36 months,12.42%,456.12,B,B4,RENT,66000,11-Dec,Fully Paid,
125,28000,11800, 60 months,19.91%,312.04,E,E4,RENT,52000,11-Dec,Charged Off,
126,18000,18000, 36 months,7.90%,563.23,A,A4,RENT,56964,11-Dec,Fully Paid,
127,2500,2500, 36 months,14.27%,85.78,C,C2,RENT,49500,11-Dec,Fully Paid,
128,21000,21000, 60 months,20.30%,559.89,E,E5,RENT,70000,11-Dec,Fully Paid,
129,35000,35000, 36 months,8.90%,1111.37,A,A5,MORTGAGE,125000,11-Dec,Fully Paid,
130,10000,10000, 36 months,7.51%,311.11,A,A3,RENT,33000,11-Dec,Fully Paid,
131,7000,7000, 36 months,12.69%,234.82,B,B5,RENT,30000,11-Dec,Fully Paid,
132,24000,24000, 36 months,15.96%,843.3,C,C5,MORTGAGE,90000,11-Dec,Charged Off,
133,10625,10625, 36 months,7.51%,330.56,A,A3,MORTGAGE,23000,11-Dec,Fully Paid,
134,5000,5000, 36 months,14.65%,172.48,C,C3,RENT,24000,11-Dec,Fully Paid,
135,8850,8850, 36 months,6.62%,271.73,A,A2,RENT,62000,11-Dec,Fully Paid,
136,6375,6375, 36 months,7.51%,198.34,A,A3,RENT,44000,11-Dec,Fully Paid,
137,6000,6000, 36 months,11.71%,198.46,B,B3,RENT,90000,11-Dec,Fully Paid,
138,11100,11100, 36 months,6.62%,340.82,A,A2,RENT,41000,11-Dec,Charged Off,
139,10000,10000, 60 months,12.69%,225.95,B,B5,MORTGAGE,56000,11-Dec,Fully Paid,
140,6200,6200, 36 months,6.03%,188.71,A,A1,MORTGAGE,26500,11-Dec,Fully Paid,
141,15000,15000, 36 months,18.64%,547.12,E,E1,RENT,54000,11-Dec,Fully Paid,
142,4200,4200, 36 months,11.71%,138.92,B,B3,RENT,53000,11-Dec,Fully Paid,
143,14000,14000, 36 months,14.27%,480.33,C,C2,RENT,52800,11-Dec,Fully Paid,
144,8875,8875, 36 months,7.51%,276.11,A,A3,MORTGAGE,38000,11-Dec,Fully Paid,
145,13500,13500, 36 months,9.91%,435.04,B,B1,RENT,38000,11-Dec,Fully Paid,
146,12000,12000, 36 months,9.91%,386.7,B,B1,RENT,42000,11-Dec,Charged Off,
147,16000,16000, 60 months,19.91%,423.11,E,E4,RENT,55000,11-Dec,Fully Paid,
148,21600,21600, 60 months,19.42%,565.32,E,E3,MORTGAGE,60000,11-Dec,Fully Paid,
149,6000,6000, 36 months,10.65%,195.44,B,B2,MORTGAGE,87000,11-Dec,Fully Paid,
